model,months,gamma,dPnL,t,yrs_up,n,n_base,side_switch
di,12,3.0,-4561,-0.63,1,3693,3318,1915
pctb,12,1.0,1981,0.39,1,3611,3318,1146
pctb,12,3.0,3859,0.51,2,3754,3318,2023
stoch14,12,1.0,-2769,-0.57,2,3611,3318,1075
stoch14,12,3.0,6135,0.87,3,3750,3318,1910
upcount10,12,1.0,-3325,-0.88,1,3538,3318,876
upcount10,12,3.0,71,0.01,1,3721,3318,1818
gap,12,1.0,-1508,-0.56,1,3364,3318,500
gap,12,3.0,-4744,-1.03,1,3433,3318,1133
spy_ret1z,12,1.0,55,0.02,2,3385,3318,569
spy_ret1z,12,3.0,989,0.23,1,3452,3318,1053
spy_ret5z,12,1.0,2539,0.45,2,3483,3318,1011
spy_ret5z,12,3.0,3847,0.49,2,3614,3318,1688
spy_rsi2c,12,1.0,1371,0.27,2,3435,3318,1016
spy_rsi2c,12,3.0,3730,0.49,3,3644,3318,1825
spy_dsma20,12,1.0,-2910,-0.47,2,3514,3318,1091
spy_dsma20,12,3.0,632,0.08,2,3641,3318,1726
ret_today,12,1.0,-2273,-0.9,1,3328,3318,393
ret_today,12,3.0,-3611,-0.85,0,3435,3318,976
peer_ret1z,12,1.0,-3017,-1.05,1,3368,3318,521
peer_ret1z,12,3.0,-5019,-1.19,1,3432,3318,1065
peer_ret5z,12,1.0,1436,0.28,4,3504,3318,1041
peer_ret5z,12,3.0,1346,0.17,2,3700,3318,1976
on1z,12,1.0,1136,0.43,3,3407,3318,532
on1z,12,3.0,478,0.11,1,3536,3318,1206
in1z,12,1.0,-1581,-0.56,1,3397,3318,621
in1z,12,3.0,-663,-0.14,1,3592,3318,1399
on5z,12,1.0,2135,0.47,3,3538,3318,988
on5z,12,3.0,3204,0.51,3,3667,3318,1776
in5z,12,1.0,-7852,-2.31,0,3423,3318,623
in5z,12,3.0,-5477,-0.93,1,3626,3318,1448
body,12,1.0,-4097,-1.31,1,3397,3318,693
body,12,3.0,116,0.02,2,3618,3318,1507
wick,12,1.0,798,0.28,2,3369,3318,577
wick,12,3.0,3674,0.82,3,3447,3318,1257
engulf,12,1.0,-3499,-1.96,0,3355,3318,315
engulf,12,3.0,568,0.2,2,3395,3318,608
hammer,12,1.0,-2300,-1.21,0,3357,3318,270
hammer,12,3.0,-1443,-0.48,3,3447,3318,644
pos55,12,1.0,-6784,-1.54,0,3385,3318,830
pos55,12,3.0,-15017,-2.2,0,3507,3318,1712
pos250,12,1.0,-2273,-0.51,2,3212,3318,658
pos250,12,3.0,-2139,-0.29,2,3460,3318,1578
streak,12,1.0,-1666,-0.62,1,3383,3318,556
streak,12,3.0,-3489,-0.72,1,3536,3318,1282
hhll5,12,1.0,-844,-0.21,1,3523,3318,808
hhll5,12,3.0,8336,1.42,3,3700,3318,1512
skew60,12,1.0,-1163,-0.58,2,3369,3318,372
skew60,12,3.0,-2376,-0.7,2,3475,3318,842
dsma200,12,1.0,-2197,-0.46,2,3261,3318,770
dsma200,12,3.0,-10719,-1.41,2,3479,3318,1722
trend50_200,12,1.0,-2836,-0.65,2,3265,3318,751
trend50_200,12,3.0,-2175,-0.27,1,3466,3318,1713
xq5z,12,1.0,2144,0.7,2,3392,3318,697
xq5z,12,3.0,-344,-0.07,1,3560,3318,1416
xi5z,12,1.0,1218,0.32,3,3431,3318,874
xi5z,12,3.0,1661,0.27,2,3631,3318,1799
own_minus_peer1,12,1.0,-1979,-0.88,0,3324,3318,401
own_minus_peer1,12,3.0,1632,0.44,2,3407,3318,945
mkt_ret1z,12,1.0,-4021,-1.31,1,3359,3318,490
mkt_ret1z,12,3.0,-5891,-1.37,1,3413,3318,938
mkt_ret2z,12,1.0,-306,-0.08,3,3390,3318,680
mkt_ret2z,12,3.0,-3076,-0.53,2,3535,3318,1278
mkt_ret5z,12,1.0,-4624,-0.82,1,3502,3318,977
mkt_ret5z,12,3.0,-4903,-0.66,1,3653,3318,1656
mkt_ret10z,12,1.0,-3008,-0.44,2,3551,3318,1209
mkt_ret10z,12,3.0,2250,0.26,2,3691,3318,1846
mkt_ret20z,12,1.0,-1064,-0.17,2,3577,3318,1251
mkt_ret20z,12,3.0,-817,-0.1,1,3722,3318,1885
mkt_xs5z,12,1.0,-2944,-0.61,2,3431,3318,832
