ground,bull_cut,bear_cut,is_n,is_pnl,is_full_win,is_profitable,is_yield_pct,is_weekly_sharpe,is_max_dd,is_calmar,oot_n,oot_pnl,oot_full_win,oot_profitable,oot_yield_pct,oot_weekly_sharpe,oot_max_dd,oot_calmar
0.005,0.15000000000000002,0.0,5338.0,38339.66999999997,44.473585612588984,53.727988010490826,9.91489461183163,2.5976150453363114,-15.682710846470583,2.988696594658545,535.0,2290.330000000001,41.495327102803735,50.8411214953271,5.411649010850567,1.987308406335438,-9.777431259095803,8.759780600629718
0.005,0.15000000000000002,0.05,5311.0,38649.37499999997,44.511391451704014,53.81284127282998,10.015290603085198,2.620627684273878,-15.878126895504497,2.9663361785812774,532.0,2100.9400000000014,41.16541353383459,50.56390977443609,4.988518481671008,1.8297951412680433,-10.20187608052392,7.566979859216899
0.005,0.15000000000000002,0.1,5275.0,38228.09999999997,44.54976303317535,53.800947867298575,9.947435740807881,2.587562263890532,-15.855612775300532,2.954329246166585,525.0,1971.4500000000016,41.14285714285714,50.66666666666667,4.734302022749724,1.7373979522332372,-10.014354484515508,7.146698486911512
0.005,0.15000000000000002,0.15000000000000002,5214.0,38409.06999999997,44.64902186421173,53.912543153049484,10.072654153562517,2.5946388133967853,-16.23933277822348,2.8927948914049204,519.0,1732.6900000000016,41.040462427745666,50.481695568400774,4.229693169104977,1.5346192888791177,-10.29834305087427,5.97256610429781
0.005,0.15000000000000002,0.2,5136.0,37571.614999999976,44.742990654205606,53.97196261682243,9.982897483583656,2.542914071005957,-16.004398153985868,2.8995875367062207,504.0,1850.7100000000003,41.07142857142857,50.79365079365079,4.660400958012299,1.6898905659134107,-9.002006100926408,7.379530022510741
0.005,0.15000000000000002,0.25,5092.0,37267.77999999997,44.776119402985074,54.0062843676355,9.96545335459494,2.5219758104156784,-16.735975773718625,2.759148632350636,487.0,2145.724999999997,41.68377823408625,51.54004106776181,5.582301368437476,1.9813151545840197,-8.833185603833337,8.963026681589474
0.005,0.15000000000000002,0.30000000000000004,4998.0,36401.41999999997,44.79791916766707,54.021608643457384,9.926427318207566,2.484881897101631,-17.401952405200195,2.6187061277717136,481.0,2174.4449999999974,41.58004158004158,51.559251559251564,5.749901896180237,2.012527293657147,-9.163111653489631,8.779343710479068
0.005,0.15000000000000002,0.35000000000000003,4917.0,36463.854999999974,44.905430140329464,54.11836485661989,10.10485995427022,2.5015792018511536,-19.402861163863594,2.353863704731543,462.0,2162.359999999997,41.77489177489178,51.94805194805194,5.9872466849964345,2.1014735794209116,-7.425371539773917,10.761653923440996
0.005,0.15000000000000002,0.4,4799.0,35068.12499999997,44.759324859345696,53.92790164617629,9.95250158022502,2.4364191152147416,-20.70380856731987,2.1586145551616487,451.0,2125.5449999999973,41.90687361419069,51.88470066518847,6.046577718000747,2.0892582607650056,-7.784803828210906,10.055549911733912
0.005,0.15000000000000002,0.45,4671.0,35161.57999999997,44.87261828302291,54.05694712053094,10.191960545087696,2.4475305252537565,-21.31255215884076,2.1102428574422643,430.0,1800.279999999998,41.86046511627907,51.627906976744185,5.337563188401494,1.8103128660728112,-11.651526472289719,5.519868713382341
0.005,0.15000000000000002,0.5,4451.0,35843.244999999966,45.20332509548416,54.369804538306,10.733567531909324,2.4851738808188344,-21.39404858474514,2.132256975045577,424.0,1828.0249999999976,42.21698113207547,51.65094339622641,5.473649886426307,1.8447249006817208,-11.060558665676101,5.91983142971696
0.005,0.2,0.0,5245.0,40073.67499999998,44.84270734032412,53.93708293612964,10.442868623040026,2.7163760913384367,-16.292881690378845,2.9580678763581387,530.0,2290.9149999999995,41.69811320754717,50.56603773584906,5.405391057155342,1.9809030388099498,-11.25516302466718,7.612032220644678
0.005,0.2,0.05,5218.0,40383.37999999998,44.88309697201993,54.024530471445,10.545117627495936,2.7400101073646,-16.48267115941876,2.9375545951811333,527.0,2101.524999999999,41.36622390891841,50.284629981024665,4.982830009865955,1.823891372480346,-11.681027714152926,6.610984316372148
0.005,0.2,0.1,5182.0,39962.10499999998,44.92473948282517,54.01389424932459,10.478965227847139,2.7065772972692743,-16.463666956235066,2.9259092763223387,520.0,1972.0350000000003,41.34615384615385,50.38461538461539,4.728913604137967,1.7361580184688095,-11.52260702147122,6.213413772423392
0.005,0.2,0.15000000000000002,5121.0,40143.07499999997,45.03026752587385,54.13005272407732,10.609345789946543,2.7122158266436243,-17.993094894863248,2.6844852538386346,514.0,1733.2749999999999,41.245136186770424,50.19455252918288,4.224951632832196,1.5324294435354793,-11.84372019116493,5.19530126329207
0.005,0.2,0.2,5043.0,39305.61999999998,45.131865952805875,54.19393218322427,10.526010498475388,2.6608414313714546,-17.635666142371186,2.707517342624307,499.0,1851.2949999999992,41.28256513026052,50.50100200400801,4.654862147769704,1.7048240703555302,-10.575301603436671,6.284002584067663
0.005,0.2,0.25,4999.0,39001.784999999974,45.169033806761355,54.23084616923385,10.511926528554172,2.6376993396068285,-18.227290762409922,2.607386721910279,482.0,2146.3099999999968,41.90871369294606,51.244813278008294,5.575146852471119,1.994660904514132,-10.069789832812347,7.8649078414818545
0.005,0.2,0.30000000000000004,4905.0,38135.42499999998,45.198776758409785,54.25076452599389,10.483487214054282,2.603071560507919,-18.17841465171601,2.5820754905351175,476.0,2175.029999999996,41.806722689075634,51.26050420168067,5.742365399491502,2.03082189578004,-10.033676884717313,8.020202458281501
0.005,0.2,0.35000000000000003,4824.0,38197.85999999998,45.3150912106136,54.353233830845774,10.672505245257426,2.6231790056981628,-19.756836348338258,2.380936441418109,457.0,2162.9449999999956,42.01312910284464,51.64113785557986,5.978963354629255,2.146233273229863,-8.72155936188772,9.165246394888701
0.005,0.2,0.4,4706.0,36802.12999999998,45.17637059073523,54.16489587760306,10.532671026940092,2.55948822362737,-21.031724102378067,2.191549771640382,446.0,2126.129999999996,42.152466367713004,51.569506726457405,6.037967005067481,2.154133794137565,-8.714082342930196,8.986177221262249
0.005,0.2,0.45,4578.0,36895.58499999998,45.30362603757099,54.30318916557448,10.786678606132373,2.572556774435478,-21.631563169443435,2.146659508008874,425.0,1800.8649999999966,42.11764705882353,51.294117647058826,5.329844751085572,1.8544208618382894,-10.197726499125427,6.309184251440642
0.005,0.2,0.5,4358.0,37577.24999999997,45.663148233134464,54.63515374024782,11.352973118041273,2.610633183499113,-21.520575964321655,2.187171787078202,419.0,1828.6099999999965,42.482100238663485,51.3126491646778,5.465611609534001,1.8899884577583175,-9.59574771641024,6.826064919718226
0.005,0.25,0.0,5127.0,38407.959999999985,44.763019309537746,53.77413692217671,10.132602206544739,2.602113254361584,-16.45445764561235,2.8582616344108374,520.0,1575.0300000000007,41.15384615384615,49.23076923076923,3.765308376468205,1.3481650884979024,-10.848715942339538,5.0774469125211
