name,rule,is_n,is_pnl,is_fw,is_prof,oot_n,oot_pnl,oot_fw,oot_prof,d_is_n,d_is_pnl,d_is_fw,d_is_prof,d_oot_n,d_oot_pnl,d_oot_fw,d_oot_prof
min_gex_parity_balance_wf,veto0.25,3457,31026.714999999993,0.4602256291582297,0.544691929418571,510,5371.845000000004,0.44313725490196076,0.5313725490196078,-1106,-1616.3749999999745,0.019287649758711833,0.012805012916269898,-83,780.510000000012,0.018179413417981016,0.005234269087061483
min_gex_parity_balance_wf,tilt0.05,4563,32303.45499999998,0.44049967126890205,0.5316677624369932,593,4347.2449999999935,0.42327150084317033,0.524451939291737,0,-339.6349999999875,-0.0004383081306157943,-0.00021915406530792492,0,-244.08999999999833,-0.001686340640809414,-0.001686340640809414
min_gex_parity_balance_wf,tilt0.1,4563,31837.024999999972,0.4400613631382862,0.5312294543063774,593,4418.554999999993,0.42327150084317033,0.524451939291737,0,-806.064999999995,-0.0008766162612316442,-0.0006574621959237748,0,-172.77999999999884,-0.001686340640809414,-0.001686340640809414
min_gex_parity_balance_wf,tilt0.2,4563,32631.794999999976,0.44225290379136534,0.5325443786982249,593,4174.419999999993,0.42327150084317033,0.5227655986509275,0,-11.294999999990978,0.001314924391847494,0.0006574621959237748,0,-416.91499999999905,-0.001686340640809414,-0.003372681281618828
min_gex_parity_balance_wf,tilt0.5,4563,31707.399999999987,0.4400613631382862,0.5327635327635327,593,4695.40499999999,0.42327150084317033,0.524451939291737,0,-935.6899999999805,-0.0008766162612316442,0.0008766162612315886,0,104.06999999999789,-0.001686340640809414,-0.001686340640809414
min_gex_parity_balance_wf,tilt1.0,4563,32554.44499999998,0.44115713346482577,0.534516765285996,593,4966.249999999987,0.42495784148397975,0.5261382799325464,0,-88.64499999998588,0.00021915406530792492,0.002629848783694877,0,374.9149999999954,0.0,0.0
w80gex_parity_balance_wf,veto0.03,4544,33242.45499999996,0.4434419014084507,0.5334507042253521,593,4704.074999999992,0.4266441821247892,0.5295109612141653,-19,599.3649999999907,0.0025039220089328462,0.0015637877230509911,0,112.73999999999978,0.0016863406408094694,0.003372681281618939
w80gex_parity_balance_wf,veto0.05,4535,32789.68499999997,0.4429988974641676,0.5323042998897464,591,4803.674999999992,0.42978003384094754,0.5329949238578681,-28,146.59500000000116,0.0020609180646497527,0.00041738338744523595,-2,212.34000000000015,0.004822192356967792,0.006856643925321704
w80gex_parity_balance_wf,veto0.075,4524,33302.524999999965,0.4442970822281167,0.5329354553492485,590,4855.904999999992,0.4288135593220339,0.5322033898305085,-39,659.4349999999977,0.003359102828598859,0.0010485388469473333,-3,264.5699999999997,0.0038557178380541623,0.006065109897962162
w80gex_parity_balance_wf,veto0.1,4495,34247.63999999997,0.4456062291434928,0.535706340378198,588,4806.534999999991,0.4268707482993197,0.5306122448979592,-68,1604.550000000003,0.00466824974397495,0.0038194238758968435,-5,215.1999999999989,0.0019129068153399542,0.004473964965412858
