n,pnl,full_win,profitable,days,stack,overlay,year
875.0,11503.529999999984,0.4685714285714286,0.5668571428571428,193.0,veto_gex_cp_iv,veto_bottom10,2024
813.0,7359.475000000002,0.46494464944649444,0.5522755227552275,188.0,veto_gex_cp_iv,veto_bottom10,2025
586.0,3274.349999999992,0.42662116040955633,0.5255972696245734,120.0,veto_gex_cp_iv,veto_bottom10,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_top4_bad,veto_bottom30,2020
737.0,10918.095000000005,0.514246947082768,0.5807327001356852,184.0,veto_top4_bad,veto_bottom30,2021
723.0,-58.3000000000053,0.43015214384508993,0.5020746887966805,192.0,veto_top4_bad,veto_bottom30,2022
427.0,-584.5900000000001,0.4028103044496487,0.47540983606557374,152.0,veto_top4_bad,veto_bottom30,2023
767.0,13443.619999999988,0.48239895697522817,0.5814863102998696,190.0,veto_top4_bad,veto_bottom30,2024
700.0,8532.04,0.47714285714285715,0.5685714285714286,185.0,veto_top4_bad,veto_bottom30,2025
519.0,2970.5949999999975,0.4258188824662813,0.5048169556840078,118.0,veto_top4_bad,veto_bottom30,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_skewterm,veto_bottom30,2020
765.0,9502.345,0.4915032679738562,0.5647058823529412,188.0,veto_gex_skewterm,veto_bottom30,2021
733.0,360.3049999999962,0.4242837653478854,0.4965893587994543,190.0,veto_gex_skewterm,veto_bottom30,2022
498.0,522.9149999999913,0.39959839357429716,0.4859437751004016,171.0,veto_gex_skewterm,veto_bottom30,2023
823.0,10991.469999999992,0.456865127582017,0.5589307411907655,193.0,veto_gex_skewterm,veto_bottom30,2024
748.0,9741.469999999998,0.46657754010695185,0.56951871657754,187.0,veto_gex_skewterm,veto_bottom30,2025
549.0,3477.6749999999947,0.41712204007285975,0.5063752276867031,120.0,veto_gex_skewterm,veto_bottom30,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_ivresid,veto_bottom30,2020
717.0,9820.765000000003,0.49232914923291493,0.5788005578800558,183.0,veto_gex_ivresid,veto_bottom30,2021
724.0,-244.63999999999805,0.4171270718232044,0.494475138121547,185.0,veto_gex_ivresid,veto_bottom30,2022
478.0,697.3899999999941,0.40794979079497906,0.4811715481171548,164.0,veto_gex_ivresid,veto_bottom30,2023
798.0,11606.779999999988,0.46365914786967416,0.5601503759398496,193.0,veto_gex_ivresid,veto_bottom30,2024
723.0,8654.790000000005,0.45643153526970953,0.5573997233748271,186.0,veto_gex_ivresid,veto_bottom30,2025
526.0,4054.204999999997,0.41825095057034223,0.5171102661596958,119.0,veto_gex_ivresid,veto_bottom30,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_skewterm,veto_bottom10,2020
857.0,9291.679999999997,0.47841306884480744,0.5635939323220537,193.0,veto_gex_skewterm,veto_bottom10,2021
843.0,2350.099999999986,0.4377224199288256,0.5148279952550415,195.0,veto_gex_skewterm,veto_bottom10,2022
608.0,1578.9849999999897,0.42105263157894735,0.49506578947368424,178.0,veto_gex_skewterm,veto_bottom10,2023
896.0,9824.109999999982,0.44419642857142855,0.5491071428571429,195.0,veto_gex_skewterm,veto_bottom10,2024
837.0,6121.030000000006,0.44086021505376344,0.5459976105137395,189.0,veto_gex_skewterm,veto_bottom10,2025
581.0,5062.364999999991,0.43029259896729777,0.5301204819277109,120.0,veto_gex_skewterm,veto_bottom10,2026
355.0,5063.350000000015,0.4563380281690141,0.5577464788732395,81.0,stack_equal_core,tilt20,2020
887.0,8720.989999999994,0.46674182638105977,0.5546786922209695,193.0,stack_equal_core,tilt20,2021
880.0,2986.314999999987,0.43863636363636366,0.5113636363636364,196.0,stack_equal_core,tilt20,2022
654.0,1963.2299999999905,0.41131498470948014,0.4892966360856269,180.0,stack_equal_core,tilt20,2023
920.0,9491.249999999982,0.4434782608695652,0.55,196.0,stack_equal_core,tilt20,2024
865.0,5344.570000000002,0.44046242774566474,0.5398843930635838,189.0,stack_equal_core,tilt20,2025
593.0,4243.179999999992,0.42495784148397975,0.524451939291737,120.0,stack_equal_core,tilt20,2026
