n,pnl,full_win,profitable,days,stack,overlay,year
898.0,10426.97999999998,0.455456570155902,0.5579064587973274,195.0,veto_gex_skewterm,veto_bottom10,2024
839.0,7642.454999999998,0.4505363528009535,0.5494636471990465,189.0,veto_gex_skewterm,veto_bottom10,2025
585.0,4716.9699999999975,0.4239316239316239,0.5264957264957265,120.0,veto_gex_skewterm,veto_bottom10,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_skewterm,tilt10,2020
880.0,6456.20999999999,0.44886363636363635,0.5454545454545454,192.0,veto_gex_skewterm,tilt10,2021
872.0,2940.3499999999876,0.4323394495412844,0.5206422018348624,196.0,veto_gex_skewterm,tilt10,2022
656.0,1206.20999999999,0.4054878048780488,0.47865853658536583,183.0,veto_gex_skewterm,tilt10,2023
923.0,9609.694999999978,0.4463705308775731,0.5547128927410617,196.0,veto_gex_skewterm,tilt10,2024
866.0,6984.924999999999,0.4468822170900693,0.5450346420323325,189.0,veto_gex_skewterm,tilt10,2025
594.0,4810.939999999995,0.4225589225589226,0.5269360269360269,120.0,veto_gex_skewterm,tilt10,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_cp_iv,veto_bottom10,2020
834.0,8004.494999999992,0.486810551558753,0.5575539568345323,190.0,veto_gex_cp_iv,veto_bottom10,2021
819.0,1186.6499999999885,0.43223443223443225,0.5164835164835165,193.0,veto_gex_cp_iv,veto_bottom10,2022
558.0,76.57999999998742,0.4157706093189964,0.48566308243727596,175.0,veto_gex_cp_iv,veto_bottom10,2023
870.0,11624.154999999979,0.4747126436781609,0.5678160919540229,193.0,veto_gex_cp_iv,veto_bottom10,2024
812.0,7972.119999999994,0.47044334975369456,0.5541871921182266,189.0,veto_gex_cp_iv,veto_bottom10,2025
587.0,3032.5549999999953,0.42078364565587734,0.5161839863713799,120.0,veto_gex_cp_iv,veto_bottom10,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_skewterm,tilt5,2020
880.0,6363.049999999989,0.44886363636363635,0.5454545454545454,192.0,veto_gex_skewterm,tilt5,2021
872.0,3331.559999999986,0.43463302752293576,0.5229357798165137,196.0,veto_gex_skewterm,tilt5,2022
656.0,1266.0349999999896,0.4070121951219512,0.4801829268292683,183.0,veto_gex_skewterm,tilt5,2023
923.0,9502.359999999979,0.4442036836403034,0.5536294691224268,196.0,veto_gex_skewterm,tilt5,2024
866.0,6492.415000000001,0.4445727482678984,0.5404157043879908,189.0,veto_gex_skewterm,tilt5,2025
594.0,4619.504999999996,0.4225589225589226,0.5252525252525253,120.0,veto_gex_skewterm,tilt5,2026
355.0,4645.070000000014,0.4507042253521127,0.5549295774647888,81.0,veto_gex_cp_iv,tilt20,2020
880.0,6646.764999999989,0.4511363636363636,0.5477272727272727,192.0,veto_gex_cp_iv,tilt20,2021
872.0,2216.989999999987,0.42660550458715596,0.5149082568807339,196.0,veto_gex_cp_iv,tilt20,2022
656.0,1087.75499999999,0.4054878048780488,0.47865853658536583,183.0,veto_gex_cp_iv,tilt20,2023
923.0,10136.65499999998,0.4507042253521127,0.5568797399783315,196.0,veto_gex_cp_iv,tilt20,2024
866.0,6691.25,0.4457274826789838,0.5427251732101617,189.0,veto_gex_cp_iv,tilt20,2025
594.0,4794.334999999995,0.42592592592592593,0.5252525252525253,120.0,veto_gex_cp_iv,tilt20,2026
355.0,4810.480000000015,0.4535211267605634,0.5577464788732395,81.0,stack_equal_core,tilt10,2020
880.0,6326.474999999987,0.4465909090909091,0.5420454545454545,192.0,stack_equal_core,tilt10,2021
872.0,3552.754999999986,0.43577981651376146,0.5240825688073395,196.0,stack_equal_core,tilt10,2022
656.0,1004.3249999999896,0.40396341463414637,0.47865853658536583,183.0,stack_equal_core,tilt10,2023
923.0,9622.634999999982,0.4452871072589382,0.5547128927410617,196.0,stack_equal_core,tilt10,2024
866.0,6440.064999999999,0.4445727482678984,0.5404157043879908,189.0,stack_equal_core,tilt10,2025
594.0,4457.119999999995,0.4208754208754209,0.5252525252525253,120.0,stack_equal_core,tilt10,2026
