apply_side,score_col,rule,is_n,oot_n,d_is_n,d_oot_n,is_pnl,oot_pnl,d_is_pnl,d_oot_pnl,is_fw,oot_fw,d_is_fw,d_oot_fw,is_prof,oot_prof,d_is_prof,d_oot_prof,is_yld,oot_yld,d_is_yld,d_oot_yld,is_weekly_sh,oot_weekly_sh,d_is_weekly_sh,d_oot_weekly_sh,is_dd,oot_dd,d_is_dd,d_oot_dd,is_calmar,oot_calmar,d_is_calmar,d_oot_calmar,is_cagr,oot_cagr,d_is_cagr,d_oot_cagr,is_bp_n,oot_bp_n,is_bc_n,oot_bc_n,all_pos,score
bear_call,min_r_side_parity_balance_wf_r_veto_gex_skewterm_wf,v0.06,4513,591,-50,-2,33559.414999999964,5010.139999999992,916.3249999999971,418.8050000000003,0.4433857744294261,0.428087986463621,0.002447795029908273,0.0031301449796412584,0.533791269665411,0.5296108291032149,0.0019043531631098842,0.0034725491706685263,10.411551029216499,11.392049026734622,0.262952174307836,0.952513198615387,1.5483523342212508,3.3267485850402814,0.01616123443346784,0.13618186218136774,-12.879063709693494,-6.73049799979486,0.3832070252129629,-0.47227027505259933,3.357146297019469,20.004937699999058,0.16395162272668262,0.6535314473395282,43.23690104207534,134.64319317586444,0.8878887623429605,13.537686052719835,3447,475,1066,116,True,4.815895858329114
bear_call,r_veto_gex_skewterm_wf,v0.07,4515,590,-48,-3,34054.244999999966,4797.209999999992,1411.1549999999988,205.875,0.44385382059800665,0.4288135593220339,0.002915841198488811,0.0038557178380541623,0.53421926910299,0.5288135593220339,0.0023323526006888695,0.002675279389487528,10.508977853261534,10.969308774011013,0.36037899835287135,0.5297729458917786,1.5730890668900819,3.237547661294639,0.04089796710229887,0.04698093843572515,-13.409734200099576,-6.161148808281713,-0.1474634651931197,0.09707891646054723,3.2500418779360074,20.72789886954281,0.05684720364322082,1.3764926168832794,43.58219772231433,127.70766941826754,1.2331854425819557,6.6021622951229375,3453,470,1062,120,True,4.727677847135233
bear_call,r_veto_gex_skewterm_wf,v0.06,4519,590,-44,-3,33930.66999999997,4797.209999999992,1287.5800000000017,205.875,0.4436822305819872,0.4288135593220339,0.0027442511824693483,0.0038557178380541623,0.5337464040716973,0.5288135593220339,0.0018594875693961344,0.002675279389487528,10.47164784034474,10.969308774011013,0.32304898543607763,0.5297729458917786,1.5672092460193314,3.237547661294639,0.03501814623154842,0.04698093843572515,-13.120963631807447,-6.161148808281713,0.14130710309900962,0.09707891646054723,3.314073727471055,20.72789886954281,0.12087905317826841,1.3764926168832794,43.483840851276256,127.70766941826754,1.1348285715438777,6.6021622951229375,3445,470,1074,120,True,4.482490099491278
bear_call,r_veto_gex_skewterm_wf,v0.05,4523,591,-40,-2,33726.01499999997,4840.429999999992,1082.925000000003,249.09500000000025,0.44328985186822906,0.428087986463621,0.0023518724687112136,0.0031301449796412584,0.5334954676099933,0.5296108291032149,0.0016085511076922021,0.0034725491706685263,10.413894536376088,11.035593924396462,0.26529568146742477,0.5960580962772273,1.5575838303436287,3.2871537251060157,0.025392730555845677,0.09658700224710204,-13.120963631807447,-6.161148808281713,0.14130710309900962,0.09707891646054723,3.301624045705272,20.954957158600745,0.10842937141248532,1.6035509059412156,43.32048902959984,129.10660932530735,0.9714767498674632,8.001102202162741,3443,470,1080,121,True,4.254561041921854
bear_call,r_side_local_dex_wf,v0.15,4491,592,-72,-1,34677.24999999997,4695.704999999992,2034.1600000000035,104.36999999999989,0.44244043642841235,0.42567567567567566,0.0015024570288945105,0.0007178341916959097,0.533066132264529,0.5287162162162162,0.0011792157622279031,0.0025779362836698683,10.737590380337767,10.686413042612456,0.5889915254291047,0.24687721449322098,1.609203036294642,3.25477847446601,0.07701193650685889,0.06421175160709636,-13.089520735474592,-6.2198334726979665,0.17274999943186486,0.03839425204429414,3.367190717405636,20.006936045477023,0.17399604311284955,0.655529792817493,44.07491271577864,124.43981050178547,1.7259004360462598,3.3343033786408682,3464,468,1027,124,True,4.081242168540662
bull_put,r_side_parity_balance_wf,v0.01,4543,590,-20,-3,34129.37499999997,4630.379999999992,1486.2850000000035,39.04500000000007,0.4437596302003082,0.4288135593220339,0.002821650800790332,0.0038557178380541623,0.5344486022452124,0.5271186440677966,0.0025616857429112683,0.0009803641352502668,10.624294080864834,10.482148306377765,0.4756952259561711,0.04261247825852976,1.6115370288426818,3.3419428047852047,0.07934592905489879,0.15137608192629104,-12.879063709693494,-6.154124972491559,0.3832070252129629,0.10410275225070187,3.3807897542456433,19.880944246211847,0.18759507995285674,0.5295379935523172,43.54140663400865,122.34981546232468,1.1923943542762743,1.2443083391800798,3375,459,1168,131,True,4.038940084456206
bear_call,avg_r_side_oi_wall_wf_r_veto_gex_skewterm_wf,v0.05,4492,590,-71,-3,33736.58499999996,4852.4049999999925,1093.4949999999953,261.0700000000006,0.4416740872662511,0.4288135593220339,0.0007361078667332821,0.0038557178380541623,0.5325022261798753,0.5288135593220339,0.0006153096775741718,0.002675279389487528,10.429721433018123,11.04993895942035,0.2811225781094606,0.6104031313011156,1.5593866358456898,3.2454522984207426,0.02719553605790681,0.054885575561828936,-13.338963716471541,-6.118069427198602,-0.07669298156508475,0.1401582975436586,3.2520474738800083,21.165992043607098,0.05885279958722167,1.814585790947568,43.37894325832836,129.49500881832145,1.029930978595985,8.389501695176847,3462,468,1030,122,True,3.930337798220707
bear_call,r_veto_gex_skewterm_wf,v0.04,4525,592,-38,-1,33487.26499999997,4825.719999999992,844.1750000000029,234.38500000000022,0.4428729281767956,0.42736486486486486,0.001934948777277734,0.0024070233808851094,0.5332596685082873,0.5287162162162162,0.0013727520059861886,0.0025779362836698683,10.358473598644501,10.969941389471638,0.20987474373583836,0.5304055613524028,1.5504711949889634,3.2837266892022057,0.018280095201180346,0.09315996634329204,-13.120963631807447,-6.1684033920175185,0.14130710309900962,0.0898243327247421,3.2870444792588502,20.853041827039565,0.09384980496606365,1.5016355743800354,43.12919106848882,128.62997393979404,0.7801787887564444,7.524466816649436,3437,470,1088,122,True,3.5079028961981957
bear_call,avg_r_side_oi_wall_wf_r_veto_gex_skewterm_wf,v0.03,4517,591,-46,-2,33719.85499999997,4779.194999999992,1076.7649999999994,187.86000000000058,0.44122205003320786,0.428087986463621,0.0002840706336900145,0.0031301449796412584,0.532875802523799,0.5279187817258884,0.0009888860214978257,0.001780501793341993,10.428080095297958,10.865431921377388,0.2794812403892948,0.42589609325815303,1.566541086878608,3.2326724329948227,0.03434998709082504,0.042105710135909025,-13.375618045518301,-6.153837553893293,-0.11334731061184478,0.1043901708489674,3.2346685973818388,20.65798552877742,0.04147392308905218,1.3065792761178905,43.265691662411896,127.12588713477469,0.9166793826795185,6.020380011630081,3441,468,1076,123,True,3.261502594984766
bear_call,r_veto_gex_skewterm_wf,v0.03,4529,592,-34,-1,33254.98499999997,4825.719999999992,611.8950000000041,234.38500000000022,0.44226098476484876,0.42736486486486486,0.0013230053653309204,0.0024070233808851094,0.533009494369618,0.5287162162162162,0.001122577867316843,0.0025779362836698683,10.28948538811968,10.969941389471638,0.14088653321101674,0.5304055613524028,1.5432361345808152,3.2837266892022057,0.011045034793032205,0.09315996634329204,-13.120963631807447,-6.1684033920175185,0.14130710309900962,0.0898243327247421,3.272801816260936,20.853041827039565,0.07960714196814944,1.5016355743800354,42.9423136052731,128.62997393979404,0.5933013255407218,7.524466816649436,3433,470,1096,122,True,3.051281395859035
bear_call,r_veto_gex_skewterm_wf,v0.02,4533,592,-30,-1,33260.42999999997,4801.069999999992,617.3400000000038,209.73500000000058,0.442311934701081,0.42736486486486486,0.0013739553015631456,0.0024070233808851094,0.5332009706596074,0.5287162162162162,0.0013140541573062325,0.0025779362836698683,10.297151007717677,10.90779424487628,0.1485521528090139,0.4682584167570454,1.5471437700337458,3.279503159619432,0.014952670245962807,0.08893643676051832,-13.120963631807447,-6.180598498100376,0.14130710309900962,0.07762922664188476,3.273136347244597,20.682855709774763,0.07994167295181054,1.3314494571152338,42.94670297414343,127.83242693626069,0.5976906944110496,6.7269198131160834,3431,470,1102,122,True,2.9734740136631586
bear_call,min_r_side_parity_balance_wf_r_veto_gex_skewterm_wf,v0.03,4533,592,-30,-1,33696.95999999997,4724.479999999993,1053.8700000000026,133.14500000000135,0.442753143613501,0.42567567567567566,0.0018151642139831448,0.0007178341916959097,0.5338627840282374,0.527027027027027,0.001975867525936259,0.0008887470944806131,10.460784166420067,10.731203619346259,0.3121853115114046,0.2916677912270238,1.5713235489543143,3.2266265959123124,0.03913244916653125,0.03605987305339875,-12.879063709693494,-6.234148874979672,0.3832070252129629,0.02407884976258856,3.36183219630305,20.10918964790655,0.16863752201026339,0.7577833952470208,43.297251037485786,125.3636820202495,0.9482387577534084,4.258174897104894,3432,471,1101,121,True,2.838587613998726
bull_put,avg_r_side_parity_balance_wf_r_veto_gex_skewterm_wf,v0.01,4548,590,-15,-3,33167.13999999997,4652.814999999991,524.0500000000029,61.47999999999956,0.44239226033421286,0.4288135593220339,0.001454280934695018,0.0038557178380541623,0.5329815303430079,0.5305084745762711,0.0010946138407067485,0.00437019464372479,10.25918190120548,10.532764470506613,0.11058304629681714,0.09322864238737871,1.5655740650612826,3.2563749839313325,0.0333829652734996,0.06580826107241888,-13.06062170964466,-5.641792984151605,0.20164902526179596,0.6164347405906554,3.274957186246309,21.813356500407753,0.08176251195352258,2.4619502477482236,42.77297692484534,123.06644166479828,0.42396464511296017,1.9609345416536712,3386,463,1162,127,True,2.6856791560081934
bear_call,avg_r_side_oi_wall_wf_r_veto_gex_skewterm_wf,v0.02,4528,592,-35,-1,33236.87499999996,4724.974999999993,593.7849999999962,133.64000000000124,0.44125441696113077,0.42736486486486486,0.0003164375616129256,0.0024070233808851094,0.5324646643109541,0.527027027027027,0.0005777478086529397,0.0008887470944806131,10.279764866930394,10.729254847605157,0.1311660120217315,0.28971901948592205,1.5452867306782623,3.220798684596862,0.01309563089047927,0.03023196173794851,-13.122671649434547,-6.180598498100376,0.13959908547190913,0.07762922664188476,3.267501509668961,20.28599532712552,0.07430683537617444,0.9345890744659897,42.87834942541746,125.37959225130324,0.5293371456850835,4.274085128158632,3435,468,1093,124,True,2.0670640984411506
bear_call,avg_r_side_local_gex_wf_r_side_parity_balance_wf,v0.01,4551,592,-12,-1,33653.54999999997,4598.674999999992,1010.4599999999991,7.3400000000001455,0.44144144144144143,0.42567567567567566,0.0005034620419235858,0.0007178341916959097,0.5326301911667766,0.527027027027027,0.0007432746644754351,0.0008887470944806131,10.43760461121635,10.456705407037642,0.289005756307688,0.017169578918407424,1.5732697854049553,3.1919527312305003,0.04107868561717232,0.0013860083715866445,-13.276234847918122,-6.258227724742261,-0.013964113011665447,0.0,3.2511491762528992,19.388738889516222,0.05795450196011265,0.03733263685669286,43.163019989549035,121.33914326615889,0.8140077098166572,0.23363614301428015,3421,468,1130,124,True,1.7860058087751978
bear_call,r_veto_gex_skewterm_wf,v0.01,4548,592,-15,-1,33328.08999999997,4646.409999999993,685.0,55.07500000000073,0.44173262972735267,0.42567567567567566,0.0007946503278348227,0.0007178341916959097,0.5325417766051012,0.527027027027027,0.0006548601028000256,0.0008887470944806131,10.339994019647538,10.579330004530979,0.19139516473887497,0.13979417641174408,1.560805289151427,3.2301568507047715,0.028614189363644016,0.039590127845857914,-13.120963631807447,-6.258227724742261,0.14130710309900962,0.0,3.2772906025184647,19.632032140774598,0.08409592822567813,0.2806258881150683,43.00121080650909,122.86172783642675,0.652198526776715,1.756220713282147,3420,469,1128,123,True,1.66963737281137
