stack,rule,full_win_IS,full_win_OOT,n_IS,n_OOT,pnl_IS,pnl_OOT,profitable_IS,profitable_OOT,d_pnl_IS,d_pnl_OOT,d_fw_IS,d_fw_OOT,d_prof_IS,d_prof_OOT
stack_equal_core,tilt0.2,0.4428853321639991,0.42495784148397975,4561.0,593.0,33569.70499999997,4243.179999999992,0.5334356500767375,0.524451939291737,1113.5150000000067,-348.15499999999975,0.0021925016443762324,0.0,0.0017540013155009637,-0.001686340640809414
stack_equal_core,tilt0.3,0.44200833150624863,0.42495784148397975,4561.0,593.0,33428.68499999997,3795.6399999999935,0.5323393992545494,0.5227655986509275,972.4950000000026,-795.6949999999983,0.0013155009866257505,0.0,0.0006577504933128475,-0.003372681281618828
stack_equal_core,tilt0.4,0.44310458232843675,0.4266441821247892,4561.0,593.0,33446.994999999966,4151.069999999992,0.5332163999123,0.524451939291737,990.8050000000003,-440.2649999999994,0.0024117518088138667,0.0016863406408094694,0.0015347511510633849,-0.001686340640809414
stack_equal_core,tilt0.5,0.4455163341372506,0.4266441821247892,4561.0,593.0,35066.38999999997,4173.879999999992,0.5354089015566762,0.524451939291737,2610.2000000000044,-417.4549999999999,0.0048235036176277335,0.0016863406408094694,0.0037272527954396173,-0.001686340640809414
stack_equal_core,veto0.02,0.44160177975528364,0.4206081081081081,4495.0,592.0,32128.569999999963,4018.544999999993,0.5308120133481646,0.5219594594594594,-327.6200000000026,-572.789999999999,0.0009089492356607609,-0.004349733375871634,-0.0008696354130719453,-0.0041788204730869305
stack_equal_core,veto0.05,0.44578039927404717,0.4302721088435374,4408.0,588.0,32585.469999999972,4067.0149999999917,0.5335753176043557,0.5289115646258503,129.2800000000061,-524.3200000000002,0.005087568754424288,0.005314267359557645,0.001893668843119145,0.0027732846933039568
stack_equal_core,veto0.075,0.4478711162255466,0.42931034482758623,4345.0,580.0,33253.09499999998,3507.004999999993,0.5360184119677791,0.5189655172413793,796.9050000000134,-1084.329999999999,0.007178285705923715,0.004352503343606484,0.0043367632065425266,-0.007172762691167067
stack_equal_core,veto0.1,0.44724556489262374,0.4268292682926829,4284.0,574.0,32215.84499999998,2271.3249999999916,0.534547152194211,0.5087108013937283,-240.3449999999866,-2320.01,0.006552734373000857,0.0018714268087031694,0.0028655034329744256,-0.017427478538818097
stack_equal_core,veto0.125,0.4492307692307692,0.4200351493848858,4225.0,569.0,31290.754999999976,1914.6349999999914,0.5344378698224852,0.5061511423550088,-1165.4349999999904,-2676.7000000000007,0.008537938711146331,-0.0049226920990939615,0.0027562210612486204,-0.01998713757753756
stack_equal_core,veto0.15,0.45115495668912414,0.4176991150442478,4156.0,565.0,30276.554999999986,1654.2349999999904,0.5351299326275265,0.5008849557522124,-2179.63499999998,-2937.1000000000013,0.010462126169501262,-0.007258726439731966,0.003448283866289925,-0.02525332418033399
stack_equal_core,veto0.175,0.454679802955665,0.42010771992818674,4060.0,557.0,30214.50999999998,2015.81999999999,0.5374384236453202,0.5008976660682226,-2241.6799999999857,-2575.515000000002,0.013986972436042133,-0.004850121555793008,0.00575677488408366,-0.025240613864323747
stack_equal_core,veto0.2,0.45518277416124187,0.42418772563176893,3994.0,554.0,30002.894999999982,2284.634999999991,0.5380570856284427,0.5054151624548736,-2453.2949999999837,-2306.7000000000007,0.014489943641618985,-0.0007701158522108176,0.006375436867206097,-0.020723117477672748
stack_equal_core,veto0.25,0.45850622406639,0.42435424354243545,3856.0,542.0,31133.269999999982,1987.1199999999913,0.541753112033195,0.5018450184501845,-1322.9199999999837,-2604.2150000000006,0.017813393546767142,-0.0006035979415442982,0.010071463271958403,-0.024293261482361883
stack_equal_core,veto0.3,0.4598915989159892,0.4296577946768061,3690.0,526.0,29837.62999999999,2238.594999999995,0.5395663956639566,0.5076045627376425,-2618.559999999976,-2352.739999999997,0.019198768396366306,0.004699953192826345,0.007884746902720008,-0.01853371719490382
stack_equal_core,veto0.35,0.458898182867032,0.4402390438247012,3467.0,502.0,27854.565000000002,2825.674999999994,0.5393712143063167,0.5159362549800797,-4601.624999999964,-1765.659999999998,0.01820535234740911,0.015281202340721445,0.007689565545080157,-0.010202024952466693
stack_equal_core,veto0.4,0.4625,0.43487394957983194,3280.0,476.0,27703.540000000008,1947.6649999999988,0.5399390243902439,0.5084033613445378,-4752.649999999958,-2643.669999999993,0.021807169480377142,0.009916108095852194,0.008257375629007302,-0.017734918588008575
stack_equal_core,veto0.5,0.4638743455497382,0.40198511166253104,2865.0,403.0,23508.975,-569.0649999999994,0.5343804537521815,0.47890818858560796,-8947.214999999967,-5160.399999999991,0.02318151503011534,-0.022972729821448712,0.002698804990944881,-0.047230091346938397
stack_weighted_all,tilt0.01,0.4406928305196229,0.4266441821247892,4561.0,593.0,32768.299999999974,4761.804999999992,0.5321201490901118,0.5278246205733558,312.11000000000786,170.47000000000025,0.0,0.0016863406408094694,0.0004385003288752687,0.001686340640809414
stack_weighted_all,tilt0.02,0.44025433019074767,0.4266441821247892,4561.0,593.0,32261.72999999997,4740.314999999992,0.5316816487612366,0.5278246205733558,-194.4599999999955,148.98000000000047,-0.0004385003288752132,0.0016863406408094694,0.0,0.001686340640809414
stack_weighted_all,tilt0.03,0.43959657969743476,0.4266441821247892,4561.0,593.0,31907.244999999974,4740.314999999992,0.5312431484323613,0.5278246205733558,-548.9449999999924,148.98000000000047,-0.0010962508221881162,0.0016863406408094694,-0.0004385003288752687,0.001686340640809414
stack_weighted_all,tilt0.05,0.43959657969743476,0.4266441821247892,4561.0,593.0,31672.009999999973,4740.314999999992,0.530804648103486,0.5278246205733558,-784.179999999993,148.98000000000047,-0.0010962508221881162,0.0016863406408094694,-0.0008770006577505374,0.001686340640809414
stack_weighted_all,tilt0.075,0.4398158298618724,0.42327150084317033,4561.0,593.0,31663.77999999997,4272.534999999993,0.5310238982679237,0.524451939291737,-792.4099999999962,-318.7999999999993,-0.0008770006577504819,-0.001686340640809414,-0.0006577504933128475,-0.001686340640809414
stack_weighted_all,tilt0.1,0.44025433019074767,0.4266441821247892,4561.0,593.0,31886.229999999974,4412.644999999992,0.5316816487612366,0.5261382799325464,-569.9599999999919,-178.6899999999996,-0.0004385003288752132,0.0016863406408094694,0.0,0.0
stack_weighted_all,tilt0.15,0.44047358035518525,0.42495784148397975,4561.0,593.0,32067.04499999997,3865.794999999992,0.5323393992545494,0.5227655986509275,-389.1449999999968,-725.54,-0.00021925016443763434,0.0,0.0006577504933128475,-0.003372681281618828
stack_weighted_all,tilt0.2,0.43937732953299713,0.41989881956155145,4561.0,593.0,30632.174999999974,3583.224999999992,0.5312431484323613,0.5193929173693086,-1824.0149999999921,-1008.1099999999997,-0.0013155009866257505,-0.005059021922428297,-0.0004385003288752687,-0.006745362563237767
stack_weighted_all,tilt0.3,0.43915807936855955,0.42327150084317033,4561.0,593.0,30396.259999999973,3816.339999999991,0.5310238982679237,0.521079258010118,-2059.929999999993,-774.9950000000008,-0.0015347511510633294,-0.001686340640809414,-0.0006577504933128475,-0.005059021922428353
stack_weighted_all,tilt0.4,0.44047358035518525,0.42833052276559863,4561.0,593.0,31125.289999999968,4320.799999999992,0.5329971497478623,0.5261382799325464,-1330.8999999999978,-270.53499999999985,-0.00021925016443763434,0.0033726812816188834,0.001315500986625695,0.0
stack_weighted_all,tilt0.5,0.44025433019074767,0.42158516020236086,4561.0,593.0,31794.709999999966,3786.8899999999894,0.5336549002411752,0.521079258010118,-661.4799999999996,-804.4450000000024,-0.0004385003288752132,-0.0033726812816188834,0.0019732514799386536,-0.005059021922428353
stack_weighted_all,veto0.02,0.4456787380582093,0.42105263157894735,4501.0,589.0,33827.719999999965,3323.304999999994,0.5352143968007109,0.5161290322580645,1371.5299999999988,-1268.029999999998,0.004985907538586409,-0.003905209905032403,0.0035327480394743427,-0.010009247674481858
stack_weighted_all,veto0.05,0.44916023604176125,0.4222222222222222,4406.0,585.0,32222.029999999984,2419.904999999994,0.5342714480254199,0.505982905982906,-234.15999999998166,-2171.429999999998,0.008467405522138371,-0.002735619261757527,0.0025897992641833456,-0.0201553739496404
stack_weighted_all,veto0.075,0.44991903770529723,0.44502617801047123,4323.0,573.0,30479.584999999992,3815.5799999999917,0.5336571825121443,0.5200698080279232,-1976.604999999974,-775.7550000000001,0.009226207185674351,0.02006833652649148,0.001975533750907754,-0.006068471904623118
stack_weighted_all,veto0.1,0.45086024039594624,0.43992932862190814,4243.0,566.0,29735.444999999985,2433.494999999994,0.5338204100872025,0.5141342756183745,-2720.744999999981,-2157.839999999998,0.010167409876323363,0.014971487137928396,0.00213876132596591,-0.012004004314171812
