n,pnl,full_win,profitable,days,stack,overlay,changed_vs_base
4744.0,30199.679999999982,0.4477234401349072,0.5314080944350759,1136.0,stack_weighted_core,veto_bottom10,0.23853923853923853
4787.0,29555.094999999976,0.4443283893879256,0.5289325255901399,1136.0,stack_weighted_all,veto_bottom10,0.21289821289821287
4511.0,29468.22499999997,0.44757260031035245,0.5307027266681446,1129.0,stack_equal_core,veto_bottom20,0.33177933177933183
4545.0,29218.14499999998,0.445984598459846,0.5284928492849285,1130.0,stack_equal_all,veto_bottom20,0.31585081585081587
3723.0,28753.30999999999,0.45662100456621,0.5334407735697019,1077.0,stack_equal_core,veto_bottom40,0.5452602952602952
4217.0,28301.749999999985,0.4512686744130899,0.5309461702632203,1114.0,stack_equal_all,veto_bottom30,0.4298756798756799
3990.0,27819.414999999994,0.45162907268170427,0.5305764411027569,1077.0,stack_weighted_core,veto_bottom30,0.48407148407148404
4427.0,27786.414999999986,0.4474813643550937,0.531737067991868,1118.0,stack_weighted_all,veto_bottom20,0.36111111111111116
4395.0,27658.084999999985,0.44937428896473264,0.5306029579067122,1111.0,stack_weighted_core,veto_bottom20,0.3787878787878788
4049.0,27178.41499999999,0.45097554951839963,0.5317362311681897,1083.0,stack_weighted_all,veto_bottom30,0.4683372183372183
3803.0,27137.964999999997,0.4504338679989482,0.5314225611359453,1084.0,stack_equal_all,veto_bottom40,0.5310800310800311
3594.0,23184.555,0.4526989426822482,0.5322760155815247,1045.0,stack_weighted_core,veto_bottom40,0.5646853146853147
3654.0,20925.505000000005,0.4482758620689655,0.5262725779967159,1054.0,stack_weighted_all,veto_bottom40,0.553030303030303
