n,pnl,full_win,profitable,days,stack,overlay,changed_vs_base
5154.0,35804.15499999997,0.4375242530073729,0.5294916569654637,1155.0,veto_top4_bad,tilt5,0.009115593483320361
4141.0,35750.31000000001,0.4494083554696933,0.5346534653465347,1117.0,veto_gex_skewterm,veto_bottom40,0.4140806826997673
5154.0,35726.00499999996,0.4375242530073729,0.530267753201397,1155.0,stack_equal_all,tilt5,0.007176105508145847
5154.0,35524.22999999997,0.4375242530073729,0.5294916569654637,1155.0,veto_gex_cp_iv,tilt5,0.006982156710628407
4842.0,35489.98499999997,0.449607600165221,0.5346964064436184,1139.0,veto_top4_bad,veto_bottom10,0.17416602017067495
5154.0,35489.31999999997,0.4375242530073729,0.530267753201397,1155.0,stack_equal_core,tilt5,0.007757951900698168
5154.0,35197.47499999996,0.43849437330228946,0.5306558013193636,1155.0,stack_weighted_core,tilt20,0.027540729247478635
3828.0,35052.04500000001,0.45715778474399166,0.5373563218390804,1064.0,veto_top4_bad,veto_bottom40,0.4833204034134988
4858.0,34487.16999999998,0.44483326471799095,0.5314944421572664,1141.0,stack_equal_core,veto_bottom10,0.18929402637703652
5154.0,34215.399999999965,0.4371362048894063,0.5298797050834303,1155.0,stack_weighted_all,tilt20,0.027540729247478635
4954.0,34196.98499999997,0.43722244650787245,0.5290674202664514,1148.0,veto_gex_ivresid,veto_bottom10,0.12606671838634598
3913.0,33754.180000000015,0.44364937388193204,0.5318170201891133,1082.0,veto_gex_ivresid,veto_bottom40,0.4484096198603569
3896.0,33589.36500000003,0.4548254620123203,0.5356776180698152,1073.0,veto_gex_cp_iv,veto_bottom40,0.48719937936384794
4769.0,33527.78499999999,0.4541832669322709,0.5349129796603062,1137.0,stack_weighted_core,veto_bottom10,0.2337083010085338
4575.0,32720.099999999984,0.45202185792349725,0.5322404371584699,1130.0,stack_equal_all,veto_bottom20,0.31380915438324286
4885.0,32434.029999999977,0.4415557830092119,0.5277379733879222,1142.0,stack_equal_all,veto_bottom10,0.17746314972847166
4548.0,32287.529999999977,0.4514072119613017,0.5340809146877749,1128.0,stack_equal_core,veto_bottom20,0.32641582622187737
4809.0,32168.939999999984,0.4495737159492618,0.5315034310667498,1137.0,stack_weighted_all,veto_bottom10,0.21043444530643907
4216.0,32076.224999999984,0.45611954459203036,0.5355787476280834,1109.0,stack_equal_core,veto_bottom30,0.43716058960434445
4458.0,31526.594999999994,0.45334230596680125,0.5349932705248991,1124.0,stack_weighted_all,veto_bottom20,0.3537626066718387
4243.0,31035.65499999999,0.4555738864011313,0.5338204100872025,1109.0,stack_equal_all,veto_bottom30,0.42319627618308764
3841.0,29915.634999999995,0.4540484248893517,0.534756573808904,1082.0,stack_equal_all,veto_bottom40,0.5250193948797517
3756.0,29651.205000000005,0.4589989350372737,0.5359424920127795,1076.0,stack_equal_core,veto_bottom40,0.5368502715283165
4023.0,29496.19000000001,0.4543872731792195,0.5319413373104648,1080.0,stack_weighted_core,veto_bottom30,0.4745927075252133
4423.0,29371.389999999992,0.4521817770743839,0.5319918607280126,1117.0,stack_weighted_core,veto_bottom20,0.36966640806827
4069.0,28857.114999999998,0.45293683951830915,0.5310887195871221,1088.0,stack_weighted_all,veto_bottom30,0.46256788207913113
3630.0,26555.04000000001,0.4553719008264463,0.5330578512396694,1048.0,stack_weighted_core,veto_bottom40,0.5546935608999224
3675.0,23944.760000000006,0.4533333333333333,0.529795918367347,1058.0,stack_weighted_all,veto_bottom40,0.5428626842513576
