bull_cut,bear_cut,is_n,oot_n,d_is_n,d_oot_n,is_pnl,oot_pnl,d_is_pnl,d_oot_pnl,is_fw,oot_fw,d_is_fw,d_oot_fw,is_prof,oot_prof,d_is_prof,d_oot_prof,is_yld,oot_yld,d_is_yld,d_oot_yld,is_weekly_sh,oot_weekly_sh,d_is_weekly_sh,d_oot_weekly_sh,is_dd,oot_dd,d_is_dd,d_oot_dd,is_calmar,oot_calmar,d_is_calmar,d_oot_calmar,is_cagr,oot_cagr,d_is_cagr,d_oot_cagr,is_bp_n,oot_bp_n,is_bc_n,oot_bc_n,all_pos,score
0.4,0.1,4135,559,-428,-34,31107.42,5811.374999999989,-1535.6699999999691,1220.0399999999972,0.4403869407496977,0.45080500894454384,-0.0005510386498201458,0.02584716746056409,0.5298669891172915,0.5438282647584973,-0.0020199273850096677,0.017689984825950966,10.651651261010487,13.907329223226085,0.5030524061018244,3.4677933951068507,1.5664386918054651,4.185838980874519,0.03424759201768213,0.9952722580156053,-15.212780671243053,-6.30199703032236,-1.950509936336596,-0.04376930558009917,2.7637003788713996,25.661642749447616,-0.42949429542138695,6.310236496788086,42.04356770480193,161.7195964002122,-0.30544457493044774,40.61408927706759,3091,443,1044,116,False,12.82504426755324
0.35,0.35,3958,551,-605,-42,29978.475,6068.074999999992,-2664.614999999969,1476.7399999999998,0.4426478019201617,0.4482758620689655,0.0017098225206438333,0.023318020584985777,0.5295603840323395,0.5499092558983666,-0.0023265324699616174,0.02377097596582023,10.35351738757591,14.864284246282546,0.20491853266724647,4.424748418163311,1.4536664751095127,3.798268814486947,-0.07852462467827026,0.6077020916280333,-15.68313898959448,-7.963678421682497,-2.420868254688024,-1.705450696940236,2.652379096148112,21.72332129218699,-0.5408155781446746,2.3719150395274617,41.59763001798582,172.99754502186548,-0.7513822617465564,51.89203789872087,3307,469,651,82,False,12.689277361561274
0.35,0.12,4205,565,-358,-28,31977.065,5829.929999999991,-666.0249999999687,1238.5949999999993,0.4423305588585018,0.4424778761061947,0.0013925794589839668,0.017520034622214964,0.5310344827586206,0.5451327433628319,-0.0008524337436804919,0.018994463430285546,10.63376152063312,13.932308718814413,0.48516266572445765,3.4927728906951785,1.5574850413751105,4.003339938643506,0.02529394158732745,0.8127732157845919,-15.15416338982395,-7.5320335128805205,-1.891892654917493,-1.2738057881382598,2.8166386075186964,21.556594688147005,-0.37655606677409015,2.205188435487475,42.683801668424536,162.36499361470544,0.33478938869215824,41.259486491560835,3216,457,989,108,False,12.315325117127546
0.3,0.04,4365,579,-198,-14,32223.634999999987,5815.914999999994,-419.4549999999799,1224.5800000000017,0.44169530355097364,0.4438687392055268,0.000757324151455796,0.018910897721547026,0.5312714776632302,0.5457685664939551,-0.000615438839070892,0.01963028656140875,10.376073824231552,13.38729224476359,0.22747496932288946,2.9477564166443546,1.5106469619793446,3.6706376827717997,-0.021544137808438446,0.48007095991288606,-13.00584237707476,-7.0991763692110466,0.2564283578316964,-0.8409486444687859,3.271054094700558,22.8022837483497,0.07785942040777138,3.4508774956901718,42.54281396256043,161.87743395032928,0.19380168282805244,40.77192682718467,3242,459,1123,120,False,11.675029200710963
0.4,0.12,4107,557,-456,-36,30803.090000000004,5717.104999999989,-1839.9999999999636,1125.7699999999968,0.4394935476016557,0.4506283662477558,-0.0014444317978621335,0.02567052476377607,0.5293401509617726,0.5439856373429084,-0.0025467655405285727,0.01784735741036203,10.58202114261241,13.732051922872268,0.43342228770374724,3.292516094753033,1.5526613030751704,4.034141766422112,0.020470203287387356,0.8435750435631988,-15.089104601393133,-6.242320239807486,-1.8268338664866768,0.015907484934774452,2.7754804222496072,25.383745499585718,-0.41771425204317936,6.032339246926188,41.87951441044311,158.4534682941861,-0.4694978692892704,37.347961171041504,3098,445,1009,112,False,11.65753265921768
0.35,0.2,4124,558,-439,-35,30793.049999999996,5874.709999999992,-1850.0399999999718,1283.375,0.44059165858389915,0.4444444444444444,-0.00034632081561869477,0.019486602960464672,0.5278855480116392,0.5483870967741935,-0.004001368490661905,0.022248816841647145,10.343155536346979,14.19595002778917,0.19455668143831595,3.756414199669935,1.4946382583252702,4.038416080990116,-0.03755284146251281,0.8478493581312021,-15.73222877696706,-5.613310741452615,-2.469958042060604,0.6449169832896455,2.661468350651084,29.588107090042275,-0.5317263236417027,10.236700837382745,41.87082897510004,166.0872393477846,-0.4781833046323385,44.981732224639984,3261,463,863,95,False,11.616027387531743
0.35,0.3,4010,551,-553,-42,30663.555000000004,5853.389999999991,-1979.5349999999635,1262.0549999999994,0.44214463840399004,0.44464609800362975,0.0012066590044721992,0.019688256519650005,0.529925187032419,0.5480943738656987,-0.0019617294698821564,0.021956093933152343,10.495709015730615,14.368590042565286,0.347110160821952,3.929054214446051,1.4971850965649949,3.7733263493495133,-0.03500600322278813,0.5827596264905996,-15.427430877969572,-8.0721997338412,-2.1651601430631153,-1.81397200909894,2.7259048953498772,20.48153554540075,-0.46728977894290935,1.1301292927412199,42.05370935292911,165.331045778243,-0.29530292680326653,44.225538655098404,3297,465,713,86,False,11.580054525377225
0.4,0.3,3897,540,-666,-53,29647.015000000003,5812.74499999999,-2996.0749999999643,1221.409999999998,0.4387990762124711,0.45185185185185184,-0.0021389031870467368,0.02689401036787209,0.5275853220425969,0.5462962962962963,-0.004301594459704239,0.02015801636374992,10.521846706491875,14.415554204787199,0.37324785158321205,3.976018376667964,1.5028646772222982,3.9333299987103216,-0.02932642256548479,0.742763275851408,-15.725672946937696,-5.556574061016306,-2.463402212031239,0.7016536637259545,2.6295065989256954,29.4952543263176,-0.5636880753670912,10.14384807365807,41.350760786519956,163.89256511269537,-0.9982514932124218,42.78705798955076,3169,450,728,90,False,11.52511970802132
0.4,0.18,4037,549,-526,-44,30182.309999999998,5786.92499999999,-2460.7799999999697,1195.5899999999983,0.43770126331434234,0.4517304189435337,-0.003236716085175506,0.02677257745955397,0.5266286846668318,0.546448087431694,-0.0052582318354693625,0.02030980749914768,10.481422319470276,14.046660664738226,0.3328234645616135,3.6071248366189916,1.5248985711854466,4.024517379574078,-0.007292528602336423,0.8339506567151647,-14.416325210523784,-6.24935150591387,-1.1540544756173272,0.008876218828390847,2.881000507843087,26.079650695801742,-0.31219416644969966,6.728244443142213,41.53344025275012,162.98090434951632,-0.8155720269822595,41.87539722637172,3122,447,915,102,False,11.230138784371611
0.35,0.25,4058,553,-505,-40,30990.355000000003,5809.829999999992,-1652.7349999999642,1218.495,0.4413504189255791,0.4430379746835443,0.0004124395260612368,0.01808013319956453,0.5293247905372105,0.5479204339963833,-0.0025621259650906447,0.02178215406383699,10.524749723367647,14.183743196913936,0.3761508684589838,3.744207368794701,1.5159049835504093,3.794813139622546,-0.01628611623737375,0.6042464167636323,-15.097935729743616,-8.098316808922535,-1.8356649948371597,-1.8400890841802742,2.794379636312114,20.22513589526157,-0.39881503798067275,0.87372964260204,42.18936415354464,163.78955798333928,-0.15964812618774005,42.684050860194674,3286,465,772,88,False,11.136836623010835
