n,pnl,full_win,profitable,days,signal,rule
4725.0,34964.37499999999,0.4562962962962963,0.5394708994708994,1131.0,parity_fwd_z,veto0.1
4448.0,34782.41,0.45301258992805754,0.5384442446043165,1121.0,parity_balance,veto0.3
4896.0,34743.654999999984,0.43995098039215685,0.5339052287581699,1146.0,parity_fwd_iqr,veto0.3
5154.0,34160.62499999997,0.4379123011253395,0.5308498253783469,1155.0,parity_balance,tilt0.5
4564.0,34018.17,0.4570552147239264,0.5368098159509203,1121.0,parity_fwd_z,veto0.15
4817.0,33834.56499999997,0.439485156736558,0.5283371392983185,1144.0,parity_fwd_slope_chg,veto0.3
4855.0,33352.44999999996,0.4411946446961895,0.533264675592173,1143.0,parity_oi_balance,veto0.15
4547.0,32923.01499999998,0.45612491752804046,0.5372773257092589,1130.0,parity_fwd_slope,veto0.2
4743.0,32086.234999999957,0.44212523719165087,0.5317309719586759,1141.0,parity_oi_balance,veto0.2
4185.0,31648.845,0.45782556750298686,0.5369175627240144,1092.0,parity_fwd_z,veto0.3
4491.0,31630.41499999998,0.44355377421509684,0.5328434647071921,1120.0,parity_oi_balance,veto0.3
4295.0,29917.69499999999,0.4579743888242142,0.5380675203725261,1118.0,parity_fwd_slope,veto0.3
