score_col,rule,is_n,oot_n,d_is_n,d_oot_n,is_pnl,oot_pnl,d_is_pnl,d_oot_pnl,is_fw,oot_fw,d_is_fw,d_oot_fw,is_prof,oot_prof,d_is_prof,d_oot_prof,is_yld,oot_yld,d_is_yld,d_oot_yld,is_daily_sh,oot_daily_sh,d_is_daily_sh,d_oot_daily_sh,is_weekly_sh,oot_weekly_sh,d_is_weekly_sh,d_oot_weekly_sh,is_dd,oot_dd,d_is_dd,d_oot_dd,is_calmar,oot_calmar,d_is_calmar,d_oot_calmar,is_cagr,oot_cagr,d_is_cagr,d_oot_cagr,all_pos,score
min_local_old_parity,t0.30,4563,593,0,0,31345.91999999997,4466.779999999992,-1297.1699999999983,-124.55500000000029,0.43984220907297833,0.42495784148397975,-0.0010957703265395136,0.0,0.5314486083716853,0.524451939291737,-0.00043830813061584983,-0.001686340640809414,9.623304063322019,10.054841767443245,-0.5252947915866439,-0.3846940606759901,2.3133455717300637,3.5488822630077643,-0.12363115131946634,-0.09131717664342398,1.4596877945508422,3.0450281604465848,-0.07250330523694082,-0.14553856241232888,-15.426689204383004,-6.953000877093185,-2.164418469476548,-0.6947731523509244,2.676035220033419,16.85035807607925,-0.5171594542593674,-2.50104817658028,41.282363639438245,117.16055448231324,-1.066648640294133,-3.94495264083136,False,-3.256840043904314
avg_r_side_same_oi_pc_wf_r_veto_gex_cp_iv_wf,t0.20,4563,593,0,0,30886.854999999974,4480.329999999993,-1756.2349999999933,-111.0049999999992,0.4396230550076704,0.4266441821247892,-0.0013149243918474385,0.0016863406408094694,0.5303528380451458,0.5261382799325464,-0.0015340784571553634,0.0,9.578933690065277,10.131296911742309,-0.5696651648433857,-0.3082389163769257,2.2931694472495106,3.5579283293148642,-0.1438072758000195,-0.08227111033632406,1.4375103619758285,3.1061877160717395,-0.09468073781195452,-0.08437900678717414,-15.31238736872912,-6.986214853064087,-2.050116633822663,-0.7279871283218267,2.6709625936575976,16.831419367200844,-0.522232080635189,-2.5199868854586853,40.898813881470566,117.58791198128908,-1.4501983982618114,-3.517595141855523,False,-3.266444370047256
min_parity_core,v0.70,1870,209,-2693,-384,13069.375000000004,2652.6150000000075,-19573.714999999964,-1938.7199999999843,0.44278074866310163,0.4880382775119617,0.0018427692635837878,0.06308043602798197,0.5240641711229946,0.5645933014354066,-0.007822745379306495,0.03845502150286029,9.889434317736013,15.798628482396873,-0.25916453717264964,5.359092654277639,1.931971089138833,3.821889327554925,-0.505005633910697,0.18168988790373675,1.1931244033398205,2.596788372590116,-0.3390666964479625,-0.5937783502687974,-15.779063395474957,-6.626858840431082,-2.5167926605685,-0.3686311156888218,2.090293410132626,19.692359898647545,-1.1029012641601605,0.3409536459880158,32.98287223362624,130.49848928330303,-9.366140046106139,9.392982160158425,False,-3.2743006398517798
r_side_parity_fwd_z_wf,v0.09,4355,568,-208,-25,34032.68499999998,3038.2799999999907,1389.5950000000157,-1553.0550000000012,0.4525832376578645,0.426056338028169,0.011645258258346669,0.0010984965441892536,0.5402985074626866,0.5193661971830986,0.008411590960385462,-0.006772082749447739,10.81874872524949,6.939930364970585,0.6701498703408273,-3.49960546314865,2.5558629346576844,2.360248328958995,0.11888621160815438,-1.2799511106921933,1.5791321566743228,2.156393390231852,0.04694105688653982,-1.0341733326270615,-14.134332858941168,-7.633109386315673,-0.8720621240347111,-1.3748816615734123,3.103696415129666,9.76891495101205,-0.0894982591631206,-9.58249130164748,43.86867822454514,74.56719640668959,1.5196659448127647,-46.538310716455015,False,-3.304100564987904
min_local_wall_dex,t0.05,4563,593,0,0,31766.339999999975,4362.7799999999925,-876.7499999999927,-228.55499999999938,0.4396230550076704,0.42327150084317033,-0.0013149243918474385,-0.001686340640809414,0.5305719921104537,0.524451939291737,-0.0013149243918474385,-0.001686340640809414,9.879424786398516,9.903064021327939,-0.26917406851014647,-0.5364718067912957,2.3687971749515775,3.4681697281344626,-0.06817954809795257,-0.17202971151672575,1.4971915213328963,3.023186912417156,-0.03499957845488666,-0.16737981044175765,-13.796312772033758,-6.258227724742261,-0.5340420371273016,0.0,3.0175315706996555,18.199260337272,-0.1756631035931311,-1.1521459153875284,41.63080934885875,113.89511561251781,-0.7182029308736304,-7.210391510626792,False,-3.3086552249441663
min_old_parity,t0.75,4563,593,0,0,32314.02499999997,4305.20999999999,-329.0649999999987,-286.1250000000018,0.43984220907297833,0.42327150084317033,-0.0010957703265395136,-0.001686340640809414,0.532325224632917,0.521079258010118,0.00043830813061584983,-0.005059021922428353,9.90258674157004,9.589566525959707,-0.24601211333862238,-0.8499693021595274,2.373622838999512,3.4508481986504767,-0.06335388405001785,-0.18935124100071166,1.4749337410148755,3.174921767763737,-0.057257358772907496,-0.015644955095176716,-14.674721929732982,-7.58709370027586,-1.4124511948265255,-1.3288659755335992,2.8675688120832525,14.774912747650749,-0.32562586220953404,-4.576493505008781,42.08077493169646,112.09864742982649,-0.2682373480359175,-9.00685969331812,False,-3.3337982703781877
r_side_same_oi_pc_wf,t0.30,4563,593,0,0,30152.31499999998,4447.379999999988,-2490.774999999987,-143.95500000000357,0.4376506684198992,0.4317032040472175,-0.0032873109796186517,0.006745362563237767,0.5303528380451458,0.5278246205733558,-0.0015340784571553634,0.001686340640809414,9.390111000964408,10.146195855266944,-0.7584878539442546,-0.29333997285229074,2.27015573279385,3.5037901447940554,-0.1668209902556801,-0.13640929485713293,1.4371408203874043,3.147389899606647,-0.09505027940037869,-0.04317682325226668,-15.589721205609496,-6.498412126259268,-2.32745047070304,-0.24018440151700737,2.5836428059666283,17.93506719708246,-0.6095518683261583,-1.416339055577069,40.278271039898364,116.54945815879549,-2.070741239834014,-4.556048964349117,False,-3.3631979405551182
avg_r_side_oi_wall_wf_r_side_parity_balance_wf,v0.18,4326,567,-237,-26,30683.859999999986,4324.859999999993,-1959.2299999999814,-266.47499999999854,0.44244105409153955,0.42680776014109345,0.0015030746920217108,0.0018499186571137027,0.5314378178455849,0.5238095238095238,-0.0004490986567162736,-0.002328756123022524,9.882293438142028,10.170840373781648,-0.26630541676663455,-0.26869545433758724,2.325707308254024,3.4578813823109082,-0.111269414795506,-0.18231805734028006,1.4326706345795754,2.7890319756011084,-0.09952046520820756,-0.40153474725780525,-16.18547696914636,-7.302348558435812,-2.9232062342399043,-1.044120833693551,2.536592155545147,15.434888018705015,-0.6566025187476394,-3.9165182339545144,41.0559539136933,112.71093227300875,-1.2930583660390766,-8.394574850135854,False,-3.364078929352118
min_old_parity,t0.30,4563,593,0,0,32531.619999999966,4273.9049999999925,-111.47000000000116,-317.4299999999994,0.44071882533421,0.42158516020236086,-0.0002191540653078694,-0.0033726812816188834,0.5327635327635327,0.5193929173693086,0.0008766162612315886,-0.006745362563237767,10.06334861001234,9.614188914688242,-0.08525024489632216,-0.8253469134309928,2.4219828200057867,3.4131581917238187,-0.014993903043743373,-0.22704124792736957,1.5157053750011975,3.0776386191751044,-0.0164857247865855,-0.11292810368380923,-14.30177290093777,-7.920085432637835,-1.0395021660313137,-1.6618577078955745,2.95476118460677,14.030796594930766,-0.23843348968601674,-5.320609657728763,42.25832343875189,111.1251077198157,-0.09068884098049068,-9.980399403328903,False,-3.369534843754417
min_old_core,t0.20,4563,593,0,0,31488.05999999997,4373.594999999994,-1155.0299999999988,-217.73999999999796,0.44049967126890205,0.42495784148397975,-0.0004383081306157943,0.0,0.5321060705676091,0.524451939291737,0.00021915406530792492,-0.001686340640809414,9.716191656328874,9.924929811041235,-0.4324071985797886,-0.514606017078,2.326865474421728,3.494278194681351,-0.1101112486278022,-0.14592124496983727,1.4620614388579425,3.0236506746491245,-0.07012966092984052,-0.16691604820978911,-14.068722006488466,-9.632944707005697,-0.8064512715820094,-3.374716982263436,2.942731293640615,11.85862538302502,-0.25046338065217144,-7.49278086963451,41.40046851002399,114.23348261577426,-0.9485437697083867,-6.872024507370341,False,-3.3961114209850547
