ticker,spread_type,expiry_date,DTE,short_strike,long_strike,p,ro,q,w_star,G,EV,DKL,GROUND,mid_credit,cross_bidask_credit,ba_halfspread_cost,ba_halfspread_pct,short_bid,short_ask,long_bid,long_ask
PG,bear_call,2026-05-15,3,144.0,145.0,0.5017,0.1317,0.3666,0.1565,0.014734,0.166133,0.1177,0.013195,0.515,0.2699999999999999,0.2450000000000001,47.5728155339806,1.15,1.35,0.59,0.88
BA,bull_put,2026-05-15,3,237.5,235.0,0.487,0.091,0.422,0.15,0.015247,0.187847,0.166022,0.013014,1.39,1.0,0.3899999999999999,28.05755395683453,4.2,4.65,2.87,3.2
MRK,bull_put,2026-05-15,3,112.0,111.0,0.551,0.119,0.33,0.1847,0.0132,0.141121,0.151039,0.011425,0.465,0.16000000000000003,0.305,65.59139784946237,1.03,1.35,0.58,0.87
CSCO,bear_call,2026-05-15,3,100.0,101.0,0.5064,0.0413,0.4523,0.1363,0.011753,0.166633,0.263566,0.009083,0.55,0.30000000000000027,0.24999999999999978,45.45454545454541,3.6,3.85,3.05,3.3
MA,bear_call,2026-05-15,3,500.0,502.5,0.4953,0.0682,0.4365,0.1235,0.009517,0.144939,0.205636,0.007785,1.35,-0.40000000000000036,1.7500000000000004,129.62962962962965,5.1,6.8,3.7,5.5
USB,bear_call,2026-05-15,3,54.0,55.0,0.3836,0.2355,0.3809,0.0963,0.007515,0.127593,0.022869,0.007373,0.57,0.45,0.11999999999999994,21.05263157894736,0.9,1.06,0.37,0.45
QCOM,bull_put,2026-05-15,3,212.5,210.0,0.478,0.048,0.474,0.1056,0.007378,0.134364,0.246161,0.005789,1.4,0.6999999999999993,0.7000000000000006,50.00000000000004,9.0,9.8,7.7,8.3
ISRG,bull_put,2026-05-15,3,430.0,425.0,0.554,0.119,0.327,0.1386,0.006699,0.095536,0.152599,0.00577,2.2,0.0,2.2,100.0,4.5,7.0,2.6,4.5
GOOGL,bull_put,2026-05-18,6,387.5,385.0,0.514,0.068,0.418,0.1124,0.007027,0.11698,0.209118,0.005721,1.275,0.39999999999999947,0.8750000000000004,68.6274509803922,4.8,5.85,3.7,4.4
TXN,bull_put,2026-05-15,3,295.0,292.5,0.521,0.068,0.411,0.11,0.006476,0.11,0.210671,0.005263,1.25,0.25,1.0,80.0,4.4,5.65,3.4,4.15
